iteration,docs_remaining,percent_of_original,avg_bm25_sql_time_s_disjunctive_top10,query_count,delete_batch
1,457685,100.0,0.137525,100,10000
2,447685,97.815091,0.180275,100,10000
3,437685,95.630182,0.186417,100,10000
4,427685,93.445273,0.201547,100,10000
5,417685,91.260365,0.219419,100,10000
6,407685,89.075456,0.213665,100,10000
7,397685,86.890547,0.234913,100,10000
8,387685,84.705638,0.256507,100,10000
9,377685,82.520729,0.264876,100,10000
10,367685,80.33582,0.272046,100,10000
11,357685,78.150912,0.271894,100,10000
12,347685,75.966003,0.123236,100,10000
13,337685,73.781094,0.144554,100,10000
14,327685,71.596185,0.157632,100,10000
15,317685,69.411276,0.169179,100,10000
16,307685,67.226367,0.177528,100,10000
17,297685,65.041459,0.193489,100,10000
18,287685,62.85655,0.218083,100,10000
19,277685,60.671641,0.22555,100,10000
20,267685,58.486732,0.236465,100,10000
21,257685,56.301823,0.102431,100,10000
22,247685,54.116914,0.118177,100,10000
23,237685,51.932006,0.130117,100,10000
24,227685,49.747097,0.144482,100,10000
25,217685,47.562188,0.141196,100,10000
26,207685,45.377279,0.15033,100,10000
27,197685,43.19237,0.170114,100,10000
28,187685,41.007461,0.179916,100,10000
29,177685,38.822553,0.184844,100,10000
30,167685,36.637644,0.064545,100,10000
31,157685,34.452735,0.084741,100,10000
32,147685,32.267826,0.090813,100,10000
33,137685,30.082917,0.101077,100,10000
34,127685,27.898008,0.104608,100,10000
35,117685,25.7131,0.108662,100,10000
36,107685,23.528191,0.117628,100,10000
37,97685,21.343282,0.120724,100,10000
38,87685,19.158373,0.1211,100,10000
39,77685,16.973464,0.035913,100,10000
40,67685,14.788555,0.048279,100,10000
41,57685,12.603647,0.056847,100,10000
42,47685,10.418738,0.056491,100,10000
43,37685,8.233829,0.061001,100,10000
44,27685,6.04892,0.055997,100,10000
45,17685,3.864011,0.058703,100,10000
